City	Condition 	Cylinders 	Description under the image	Drive 	Fuel 	Make and Model 	Number of images	Odometer 	Paint color	Posting time 	Price	Size	State	Title	Title Status 	Transmission	VIN	Year	url
											$13000			2000 F350 7.3 Diesel/30 ft Gooseneck					https://northmiss.craigslist.org/cto/d/2000-fdiesel-30-ft-gooseneck/6478356649.html
 Pontotoc											$2999		 Ms.	2006 Chevrolet Trailblazer LS					https://northmiss.craigslist.org/cto/d/2006-chevrolet-trailblazer-ls/6478553740.html
 Booneville ms											$14800			2014 NISSAN MURANO SL SUV					https://northmiss.craigslist.org/cto/d/2014-nissan-murano-sl-suv/6475728264.html
 Athens											$13500			1971 Plymouth Duster					https://northmiss.craigslist.org/cto/d/1971-plymouth-duster/6481152662.html
											$16900			2013 Ford F150 Supercrew XLT 4x4					https://northmiss.craigslist.org/cto/d/2013-ford-f150-supercrew-xlt/6472776646.html
 Holly Springs ms											$7500			2002 Ford F-250					https://northmiss.craigslist.org/cto/d/2002-ford-250/6467020429.html
 Southaven											$4000			1989 ford f-250 4x4					https://northmiss.craigslist.org/cto/d/1989-ford-250-4x4/6483803754.html
 Eupora											$2000			1997 Honda accord					https://northmiss.craigslist.org/cto/d/1997-honda-accord/6483795325.html
											$24000			2012 Ford F-150 XLT SuperCrew 4WD					https://northmiss.craigslist.org/ctd/d/2012-ford-150-xlt-supercrew/6483783137.html
 New albany											$6500			2003 Chevrolet z71					https://northmiss.craigslist.org/cto/d/2003-chevrolet-z71/6468943479.html
 New albany											$6500			Chevrolet z71					https://northmiss.craigslist.org/cto/d/chevrolet-z71/6468911390.html
 winona											$8700		 ms	2006 Chevy Z-71					https://northmiss.craigslist.org/cto/d/2006-chevy-71/6474394938.html
 Starkville											$19999		 Ms.	2012 GMC Sierra SLT 4WD					https://northmiss.craigslist.org/cto/d/2012-gmc-sierra-slt-4wd/6483775011.html
 Pontotoc											$3000			2000 Dodge Ram 1500 ext cab					https://northmiss.craigslist.org/cto/d/2000-dodge-ram-1500-ext-cab/6483773628.html
 Tupelo ms											$9500			68 chevy truck					https://northmiss.craigslist.org/cto/d/68-chevy-truck/6483762583.html
