Posting time 	Number of images	Description under the image	Year	Make and Model 	Condition 	Cylinders 	Drive 	Fuel 	Odometer 	Paint color	Size	Title Status 	Transmission	VIN
"2018-01-30 11:25am
                "	5	"7.3 Diesel with a 6 speed manual transmission,engine has been rebuilt about 21,000 miles ago,new tires,brakes,bearings,clutch,ac compressor,water pump,oil cooler,etc,etc. Call for more info.  show contact info
. The trailer is a 2012 Big Tex 22gn 48"" spread axle trailer. It is a 25 + 5, so 30ft overall. Its been pulled maybe 2500 miles in its life.  I will seperate the pair,$13,000.00 for the truck and $9,000.00 for the trailer.    "	2000		 good	 8 cylinders	 rwd	 diesel	 258000	 white		 clean	 manual	
"2018-01-30  1:35pm
                "	7	For Sale: 2006 Chevrolet Trailblazer LS. All power, v-6 engine, cruise, good tires, 4x4, 198,000 hwy mi. If you are looking for a bargain, you just found one.    	2006		 good	 6 cylinders	 4wd	 gas	 197000	 white	 mid-size	 clean	 automatic	
"2018-01-28  7:51am
                "	14	"For Sale here is a nice 2014 Nissan Murano SUV . It is the SL version . This SUV has clean leather 2 row seats , dual panoramic sunroof , back up camera , heated  seats , power folding rear seats , power lift gate hatch . Cd base stereo system . Steering Audio  controls Etc . It has near new matching set of tires . This 14 Murano has a 3.5 liter V6 engine with automatic front wheel drive transmission . It runs and drives great . There are no problems . Compare to 2013 pathfinder 15 rx330 12 fx35 20 16 rogue maxima Altima  . For more info contact  show contact info
"	2014		 good	 6 cylinders	 fwd	 gas	 63000	 black	 mid-size	 clean	 automatic	
"2018-02-01  3:39pm
                "	8	"1971 Plymouth Duster, Athens Alabama $13,500 
older restoration, automatic, 360, patched floor pans, starting to show rust bubbles under the vinyl top and bottom of driver side quarter panel, Paint is a 7/10 new looking interior with bucket seats, good glass, minor issues like wipers, radio and dash lights are not working (could be only fuses) gas gauge works, turn signals work, head light and low/high beam work, good tire (90% tread). Still has drum brakes, original steering wheel, dual exhaust, no power steering, holley carb. Daily driver........Not a trailer queen but wouldn't take a lot to be show quality. Great car for restoration, it was a 318 car. No title, Alabama does not require a title of this year vehicle. Thanks for looking.    "	1971		 fair	 8 cylinders	 rwd	 gas		 yellow	 mid-size	 missing	 automatic	
"2018-01-25  3:13pm
                "	5	2013 Ford F150 Supercrew XLT 4x4. 3.5L Ecoboost engine, automatic transmission, tan cloth interior, power seat, power sliding back glass, short wheel base, spray in bed liner, Loaded with options. 148k Miles. Well maintained truck. Call 73I-645-I70I    	2013					 gas	 148000			 clean	 automatic	
"2018-01-20  5:30pm
                "	15	"2002 Ford  F250 service truck 7.3 diesel
New 30 gallon air compressor electric start
Has the 0five grill and headlights 08 mayor
Runs and drives great any questions call or text
show contact info
Also have a 20 1718 foot car hauler 2014 570 Sportsman 1800 Car hauler trailer 45 for four wheeler    "	2002			 8 cylinders		 diesel				 clean	 automatic	
"2018-02-03  6:55pm
                "	3	It has 139,000 miles. It has headers instead of the manifolds. $4000 obo    	1989		 excellent	 8 cylinders	 4wd	 gas	 139000			 clean	 manual	
"2018-02-03  6:45pm
                "	7	1997 Honda accord. 5 speed. Car has 234k miles. Engine has 150k. It was replaced under factory warranty by Honda at 80k miles. I bought the car last July to commute from eupora to Columbus. Drove it 96 mile round trip everyday for 6 months with no issues. Not a beauty queen but not terrible. Has a few dings and the clear is coming off here and there. Interior has seen better days but it's not the worst in the world. Heat and a.c. both work. Front tires are new.  Less than 500 miles on them. Back tires at 50% or so. 2000 or may trade. I took a job less than a mile from home and no longer need the car is my reason for selling. Car averaged 29-30 mpg. One-6six2-5five2-zero six seven four    	1997		 fair	 4 cylinders	 fwd	 gas	 234000			 clean	 manual	
"2018-02-03  6:31pm
                "	24	2012 Ford F-150 XLT SuperCrew 4WD -- $24,000 ☎ Call: (256) 907-7256  📱 Text  (256) 907-7256 Vehicle Information: 2012 Ford F-150 XLT SuperCrew 4WDPrice:  $24,000    Year:  2012*      Make:  *Ford**      Model:  *F-150**      Series:  *XLT SuperCrew 4WD**      Body Style:  Truck*    Stock Number:  ST1696    VIN:  1FTFW1ET9CFB42334    Mileage:  80,173    Engine:  3.5L V6 TURBO    Transmission:  Automatic    Exterior Color:  Gold*    Interior Color:  Beige*We offer financing! Paste the link below to apply today!http://aswt.co/tg1f   For more details, pictures and information on this ***Ford**** ***F-150**** ***XLT SuperCrew 4WD****, Paste the link below into your browser:  http://aswt.co/t2w1   Vehicle Options For This *Ford** *F-150**:   ✅ Truck*                ✅ 4x4                ✅ AM/FM                ✅ Adjustable Pedals                ✅ Air Conditioning                ✅ Alarm System                ✅ Alloy Wheels                ✅ Anti-Lock Brakes                ✅ Automatic Headlights                ✅ Bedliner                ✅ CD                ✅ Child Safety Door Locks                ✅ Cruise Control                ✅ Driver Airbag                ✅ Driver Multi-Adjustable Power Seat                ✅ Electrochromic Interior Rearview Mirror                ✅ Fog Lights                ✅ Front Side Airbag                ✅ Front Split Bench Seat                ✅ Interval Wipers                ✅ Key Pad Entry                ✅ Keyless Entry                ✅ Locking Pickup Truck Tailgate                ✅ Passenger Airbag                ✅ Pickup Truck Cargo Box Light                ✅ Power Brakes                ✅ Power Locks                ✅ Power Mirrors                ✅ Power Steering                ✅ Power Windows                ✅ SYNC                ✅ Second Row Folding Seat                ✅ Side Head Curtain Airbag                ✅ Spray In Bedliner                ✅ Steering Wheel Mounted Controls                ✅ Tachometer                ✅ Tilt Wheel                ✅ Tinted Windows                ✅ Tire Pressure Monitor                ✅ Tow Package                    ☎ Call (256) 907-7256   or 📱 Text  (256) 907-7256  to find out more about this ***Ford**** ***F-150****.  -or-            Paste the link below into your browser to get more detailed information about this ____Ford*____F-150*____XLT SuperCrew 4WD*:  http://aswt.co/t2w1    Call  or Text  us today and mention that you heard about this vehicle on Craigslist!  Billy Ray Taylor Auto Sales ☎ Phone Number: (256) 907-7256              📱  Text Number: (256) 907-7256 Additional Vehicle Information:    With 30 lenders and rates as low as 1.90% up to 60 mths and 84 mths at 3.49% on qualifing customers and vehicles WAC.Here are some of our lenders:Credit Unions: Family Security CU Redstone FCUNASA FCU ListerHill CU APCO Employees CU ECO CU WinSouth CU AL State Employees CU Aabama CU Jefferson CU Army Aviation Center FCU Air Academy FCU Marine FCU Coosa Pines FCU Piedmont Advantage CU Tri Rivers FCU DCH CU First Flight FCU and CUDL.Banks: Wells FargoEVA Bank Traditions Bank ALLY and TCF Bank (Gateway One).Finance Co: Santander AmeriCredit Exeter American Credit Acpt Nicholas Custom Regional and Dealer Funding.  With a large inventory of over 400 vehicles and great pricing. Come see why we have become the largest independent dealer in North Alabama. We have financing for our out of state customers as well as 2nd chance financing. If you have had a previous bankruptcy charge-offs repo or foreclosure we may can help. We also have programs for 1st time buyers and college graduates. Please call us or apply online for quick credit approval. W.A.C.GOTO (www.billyraytaylorautosales.com) to see upto 60 pictures of each of our vehicles.      2012, 12, '12, Ford, F-150, F150, F-150, F 150, Truck, Pickup Truck, Billy Ray Taylor Auto Sales, *Billy* *Ray* *Taylor* *Auto* *Sales*Powered by AutoSweet | www.autosweet.com 	2012			 6 cylinders	 4wd	 gas	 80173			 clean	 automatic	 1FTFW1ET9CFB42334
"2018-01-22  1:37pm
                "	7	"03 Chevy z71, brushguard, toolbox, factory exhaust, cd, pw, pl, 4x4 in the floor, 186k,  trans has been rebuilt, bench seat with fold up console, spray in bed liner and bed caps, 18"" wheels and 33 tires, laptop tuned with knock sensor deleted, rear 02 sensors deleted and new plugs and wires, runs great  show contact info
 6500$    "	2003					 gas				 clean	 automatic	
